product_name,category,original_price,discounted_price,source,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,is_fraud,fraud_type,price_volatility,presale_spike_ratio,ref_price_mismatch,discount_magnitude
"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1099.0,399.0,amazon,1158.1109429342337,1069.343144954167,1114.3288723048847,1076.3468106889864,1160.1903602970397,1014.3898939629576,1147.5401136159683,1137.1926487914818,1067.1888932487723,1020.6618692755923,1126.471993642045,991.9587514996549,399.0,0,none,59.00304709308128,0.9469710036054073,1.0079698794037066,0.6369426751592356
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349.0,199.0,amazon,211.87971622972785,216.275128009491,205.566899547981,205.80441660269744,211.01295397176756,217.6284961314136,211.42199922187953,210.3131549341469,218.94426962540857,209.04131728739495,213.2958346595057,206.33481987083354,199.0,1,fake_reference,4.483757011933965,0.9880393146169576,1.6504309878842938,0.4297994269340974
"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1899.0,199.0,amazon,207.69044229169197,216.12901318817134,214.69061701967206,208.04395068927582,218.9227129210671,213.23859710426436,210.634746608849,209.5112749230151,220.50872532424867,209.13017046860628,212.9374638475313,211.89955279212197,199.0,1,fake_reference,4.159156452673944,0.9908988272106245,8.924790427384927,0.8952080042127436
"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,699.0,329.0,amazon,709.3737773648711,696.3181389779846,686.590947082094,688.5547270533633,722.6605153223679,699.7102924117689,690.0948008609604,701.6689984756512,728.3615668079742,909.0345382250131,918.04947982505,912.2994231281576,329.0,1,price_jacking,96.07933826977685,1.2996546805512952,0.9255502306611577,0.5293276108726752
"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,154.0,amazon,169.72713517625712,163.06829380655003,162.50333074303416,165.3193749183973,174.7807621701941,161.26749415878095,162.01466951981192,158.10563210513533,160.3549658738108,160.24540006767435,165.26073301431933,159.49470339285685,154.0,1,fake_reference,4.733216247486805,0.9850121693336291,2.440189747855068,0.6140350877192983
"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1000.0,149.0,amazon,998.4885657395789,1022.6325877490285,1030.396336328444,1043.7115081306633,972.0700732902372,971.1177238914082,989.910682741071,1003.2007413889567,1017.5233784223245,1006.312698944832,959.5559756835199,993.8759197474326,149.0,0,none,25.3863816140547,0.9812336339647059,0.9992675209141019,0.851
"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,499.0,176.63,amazon,501.29634545893657,506.604871579514,496.7811651367486,496.99643447207865,500.8618826820631,503.0923154391384,500.97903120686516,500.1877062851584,492.30679038283546,698.6105259901781,695.064018383931,709.0377732043421,176.63,1,price_jacking,91.02742485292902,1.4020865905142945,0.9070227655108416,0.6460320641282565
MI Usb Type-C Cable Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,229.0,amazon,264.3715061247525,245.38738566400247,265.55821139278396,237.31809588126202,270.31787271462736,231.75648136352436,282.7175400320215,225.65288587083967,269.46666162896577,224.86921107736197,268.8870191510213,235.9558826909753,229.0,1,yo_yo_pricing,20.36651187047819,0.9548928252624962,1.1871915320736333,0.23411371237458195
"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,999.0,499.0,amazon,529.5682358495951,533.8810677444727,506.79171950414855,517.6646573767174,504.8325462490987,499.09643681531514,524.4302372586114,501.46518498387354,517.4809411050959,519.1432099883344,519.5803212982737,513.5791530922181,499.0,1,fake_reference,10.926366212688182,1.0046809144446058,1.9374502521381347,0.5005005005005005
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,199.0,amazon,295.14491980346935,286.58506466707314,293.26575327199527,324.4818207610162,282.89561006958417,293.12000828229924,320.1612896227215,290.91600061710926,295.25180310758486,310.51584247844863,295.9850849356801,287.17898074308204,199.0,0,none,13.282755263185889,0.9997082037315018,1.0034954031675822,0.33444816053511706
